iter	Logloss
0	0.6016604845
1	0.5659688018
2	0.518796078
3	0.4823516136
4	0.4360456245
5	0.4062869937
6	0.3645069433
7	0.344668588
8	0.3322602649
9	0.3120888777
10	0.304912301
11	0.291578182
12	0.2805719597
13	0.2722652347
14	0.2606620789
15	0.2505003242
16	0.2417748473
17	0.2356510384
18	0.2304463054
19	0.2200558463
20	0.216567594
21	0.2109732961
22	0.2059187778
23	0.1992219881
24	0.1945452357
25	0.1900977645
26	0.1847044035
27	0.180598381
28	0.1740178397
29	0.1687641033
30	0.1665313743
31	0.1646410255
32	0.1610636157
33	0.1577672293
34	0.1545712227
35	0.1513446764
36	0.1502385361
37	0.1470889602
38	0.1441755295
39	0.1428792421
40	0.1403581708
41	0.1376260713
42	0.1341361112
43	0.1305160301
44	0.1291952133
45	0.1257226855
46	0.1226916979
47	0.119130068
48	0.1173511882
49	0.1137177889
50	0.1113418757
51	0.1097792359
52	0.1088881049
53	0.1062874905
54	0.1055258928
55	0.1019813959
56	0.1016111485
57	0.1001780532
58	0.09865348284
59	0.09617439536
60	0.09452174431
61	0.09271545188
62	0.09168955337
63	0.08938076884
64	0.08868414302
65	0.08767681898
66	0.08621007343
67	0.08357579209
68	0.0816833862
69	0.0797513363
70	0.07896506509
71	0.07709458262
72	0.07579796813
73	0.07430831776
74	0.07309808288
75	0.07191839329
76	0.070581852
77	0.07033258261
78	0.06997465533
79	0.06935043668
80	0.06796022903
81	0.06653969232
82	0.06535374841
83	0.06419121942
84	0.06264889517
85	0.06234390791
86	0.06184610655
87	0.06145533296
88	0.05914619357
89	0.05739945035
90	0.0565436829
91	0.05588399532
92	0.05464568249
93	0.05405721554
94	0.05256488157
95	0.05181203887
96	0.05113079382
97	0.05052562093
98	0.04878911307
99	0.04852198446
